"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5V3Q37X9","book","2011","Ramsay, Stephen","Reading Machines: Toward an Algorithmic Criticism","","978-0-252-03641-5","","","","Besides familiar and now-commonplace tasks that computers do all the time, what else are they capable of? Stephen Ramsay's intriguing study of computational text analysis examines how computers can be used as ""reading machines"" to open up entirely new possibilities for literary critics. Computer-based text analysis has been employed for the past several decades as a way of searching, collating, and indexing texts. Despite this, the digital revolution has not penetrated the core activity of literary studies: interpretive analysis of written texts. Computers can handle vast amounts of data, allowing for the comparison of texts in ways that were previously too overwhelming for individuals, but they may also assist in enhancing the entirely necessary role of subjectivity in critical interpretation. Reading Machines discusses the importance of this new form of text analysis conducted with the assistance of computers. Ramsay suggests that the rigidity of computation can be enlisted in the project of intuition, subjectivity, and play.","2011","2016-06-20 18:52:20","2016-06-20 18:52:20","","","114","","","","","Reading Machines","","","","","University of Illinois Press","","en","","","","","Google Books","","","","","https://books.google.com.co/books?id=NvzXvyIrHtYC","","Computers / Desktop Applications / Desktop Publishing; Computers / Software Development & Engineering / General; Language Arts & Disciplines / Rhetoric; Literary Criticism / Books & Reading","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUTFGGSI","book","1991","Ricœur, Paul","From text to action","","978-0-8101-0992-6 978-0-8101-0978-0","","","","","1991","2016-06-20 16:29:49","2016-06-20 16:29:49","","","346","","","","","","Essays in hermeneutics","2","","","Northwestern University Press","Evanston, Ill","eng","","","","","Gemeinsamer Bibliotheksverbund ISBN","","","","","","","Criticism; Hermeneutics; Ideology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2349VQS","bookSection","2012","Drucker, Johanna","Humanistic Theory and Digital Scholarship","Debates in the Digital Humanities","","","","http://dhdebates.gc.cuny.edu/debates/text/34","","2012","2016-06-20 15:08:35","2016-06-20 15:15:46","2016-06-20 15:08:35","85-95","","","","","","","","","","","Universidad de Minnesota","Minneapolis","","","","","","","","","","C:\Users\jairo\Zotero\storage\QI529IX6\34.html","","","","Gold, Matthew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCKU7CB7","book","2007","Moretti, Franco","Graphs, maps, trees: abstract models for literary history","","978-1-84467-185-4","","","","","2007","2016-06-19 00:34:49","2016-06-19 00:35:07","","","119","","","","","Graphs, maps, trees","","","","","Verso","London, New York","eng","","","","","Gemeinsamer Bibliotheksverbund ISBN","","OCLC: 845372315","","C:\Users\jairo\Zotero\storage\SGG55ADD\Moretti - 2007 - Graphs, maps, trees abstract models for literary .pdf","","","Criticism; Literature History and criticism; Literature Philosophy; Literaturgeschichtsschreibung; Strukturanalyse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8N26EF75","book","2015","Moretti, Franco","Lectura distante","","978-987-719-090-8","","","","","2015","2016-06-19 00:00:49","2016-06-19 00:01:52","","","274","","","","","","","","","","Fondo de Cultura Económica","Buenos Aires","","","","","","","","","","","","","","","","Mosconi, Lilia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXGWH98A","book","2018","Liu, Alan","Friending the past: the sense of history in the digital age","","978-0-226-45181-7 978-0-226-45195-4","","","","","2018","2019-07-08 03:09:41","2019-07-08 03:09:41","","","318","","","","","Friending the past","","","","","The University of Chicago Press","Chicago ; London","","","","","","Library of Congress ISBN","PN4560.3 .L58 2018","","","","","","Social aspects; Communication; Digital media; Social media and history; Technological innovations Social aspects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIJRQI3M","journalArticle","2020","Franzosi, Roberto","What’s in a text? Bridging the gap between quality and quantity in the digital era","Quality & Quantity","","1573-7845","10.1007/s11135-020-01067-6","https://doi.org/10.1007/s11135-020-01067-6","The digital era has not only given us the world of big data, but the tools to deal with this mostly unstructured, mostly textual data: Natural Language Processing (NLP) tools. Yet, most humanists and social scientists do not work with big data. They do not deal with millions of documents. Literary critics’ corpora are the handful of works produced by an author. The historians’ primary source documents number in the tens, perhaps hundreds. Social scientists deal with tens or hundreds of transcripts of focus groups and in-depth interviews, or at most a few thousand media articles. And they analyze these data either qualitatively or quantitatively with a variety of manual or computer-assisted methodologies, from content analysis to frame analysis, discourse analysis, quantitative narrative analysis. But, once developed, at least some of the NLP tools of automatic textual analysis and the data analytics visualization tools, can be applied not just to big data but to small data as well. This paper illustrates how some of these tools can be used by focusing on a short first-person narrative. And the NLP tools reveal patterns of language use perhaps not immediately discernible, thus proving useful in the analysis of even small data. But understanding and interpreting these patterns requires knowledge way beyond the NLP tools themselves. Humanists and social scientists need not fear computer scientists; rather, they need to learn to take advantage of them. NLP tools lay a bridge between quality and quantity, with much to be gained from a constant interaction between distant and close reading.","2020-11-11","2021-01-22 21:17:33","2021-01-22 21:17:33","2021-01-22 21:16:32","","","","","","Qual Quant","What’s in a text?","","","","","","","en","","","","","Springer Link","","","","C:\Users\jairo\Zotero\storage\DRWM5GY4\Franzosi - 2020 - What’s in a text Bridging the gap between quality.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"897DPHEI","book","2018","","Data-driven storytelling","","978-1-138-19710-7 978-1-138-48225-8","","","","","2018","2021-02-10 04:10:17","2021-02-10 04:10:17","","","296","","","","","","A K Peters Visualization Series","","","","CRC Press/Taylor & Francis Group","Boca Raton, Florida","","","","","","Library of Congress ISBN","P96.N35 D38 2018","","","","","","Digital storytelling; Narration (Rhetoric); Storytelling in mass media; Visual communication","Riche, Nathalie Henry; Hurter, Christophe; Diakopoulos, Nicholas; Carpendale, Sheelagh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFC2G9VQ","book","2008","Gere, Charlie","Digital culture","","978-1-86189-388-8","","","","","2008","2021-02-11 22:31:31","2021-02-11 22:31:31","","","248","","","","","","","","","","Reaktion Books","London","eng","","","","","Gemeinsamer Bibliotheksverbund ISBN","","OCLC: 836906404","","","","","","","","","","","","","","","","","","","","","","","","","Expanded 2. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FC8MCCL","book","1995","Negroponte, Nicholas","Being digital","","978-0-340-64525-3","","","","","1995","2021-02-11 22:32:29","2021-02-11 22:32:29","","","243","","","","","","","","","","Hodder & Stoughton","London","eng","","","","","Gemeinsamer Bibliotheksverbund ISBN","","OCLC: 636777725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
